gene	fc
EDN1	-0.44890703141206395
ID3	-0.4638931266897501
PLAU	-0.4655125133778833
CYP24A1	-0.4708381005206847
FZD2	-0.471832599653515
ERF	-0.47780878755223793
MAFK	-0.48570090832508545
SOX4	-0.48980673784963674
MEF2D	-0.5001354911550808
MID1IP1	-0.5013792497869994
ID2	-0.5029391345526902
OSGIN1	-0.5130999990403791
BDKRB2	-0.5175850009008122
TNFRSF12A	-0.5232837160602852
MNT	-0.533882972220826
CBX8	-0.5350370183137572
CSF1	-0.5392747390466084
CXCR7	-0.5395735162194399
RHOV	-0.5421233473183901
FOXA2	-0.5434856989084058
LIF	-0.5446145318592208
CLCF1	-0.5975111333338303
HIST1H2BJ	-0.6036748773907538
PTTG2	-0.605867372733397
PPP1R15A	-0.6059852365435342
PDE4B	-0.6120108600733394
HHEX	-0.6143455677750723
TRAF4	-0.6180502927156085
MAP3K14	-0.6268710307254372
FZD8	-0.6412397432309179
C6orf141	-0.6697765767419617
EREG	-0.6791601812562232
MIDN	-0.6935557450023522
EPHA2	-0.7015842325673494
CPEB2	-0.7180587786440902
GRB7	-0.7328344584307527
AMOTL2	-0.7350341884518375
CCL2	-0.7351360576067839
HOXA3	-0.7414711870091584
DDIT3	-0.7416531538612284
NRARP	-0.7431106331093552
TNFSF9	-0.7479116374398636
NR4A1	-0.7543594850283126
FST	-0.7618816775495033
HIST3H2A	-0.7690763229271627
TFAP2A	-0.7692005507884456
ZIC2	-0.7752725172201443
SERTAD2	-0.7785622797979955
FLJ45248	-0.7879403188638118
FGFR3	-0.8014064891247141
JMJD3	-0.8046837811446175
GDF15	-0.8178716841704188
SUV420H2	-0.8306132304708391
PTGS2	-0.8367049444597813
MAP3K8	-0.8372363250905649
GNG13	-0.8402460703631519
FKHL18	-0.8586794589025186
BCL3	-0.8650359511903241
ID4	-0.866042933391476
SERTAD1	-0.8683723605278195
GLIS2	-0.8787284785334469
MSC	-0.9184130425622665
ENC1	-0.9353908566856151
IER5	-0.9730576732222317
CXCL1	-1.0043763744395513
BBC3	-1.0048996693359395
GEM	-1.0236333768892247
FOSL1	-1.0505522593946746
PLK2	-1.0616262864548764
EFNA1	-1.0668578103069022
SOCS3	-1.0805046719834563
ELF3	-1.1391891324604682
NAB2	-1.1633278574631956
SOX2	-1.1807288135556857
SERTAD3	-1.2248535502299955
JUN	-1.2910549240813487
IER5L	-1.3072566849218645
KLF10	-1.336431318037583
NUAK2	-1.342910734461346
IER3	-1.44967086978667
ARRDC3	-1.4899563434365108
RND1	-1.5343064251289424
IL11	-1.6026561203109198
HES1	-1.7066003380588204
BHLHB2	-1.7394714343386188
IER2	-2.46189406723479
